['03/16/2021', ['17', '55'], '42', '7', '300', '0*', '2900', '10']
['03/16/2021', ['18', '15'], '42', '10', '330', '0*', '2900', '10']
['03/16/2021', ['18', '35'], '41', '6', '340', '0*', '2900', '10']
['03/16/2021', ['18', '55'], '40', '6', '350', '0*', '2900', '10']
['03/17/2021', ['08', '55'], '36', '8', '110', '0*', '2300*', '10']
['03/17/2021', ['09', '15'], '38', '10', '100', '0*', '2300*', '10']
['03/17/2021', ['09', '35'], '39', '9', '100', '0*', '2300*', '10']
['03/17/2021', ['09', '55'], '40', '6', '100', '0*', '2300*', '10']
['03/17/2021', ['10', '15'], '42', '6', '80', '0*', '2300*', '10']
['03/17/2021', ['10', '35'], '43', '5', '120', '0*', '2300*', '10']
['03/17/2021', ['10', '55'], '45', '7', '120', '0*', '2300*', '10']
['03/17/2021', ['11', '15'], '46', '5', '140', '0*', '2300*', '10']
['03/17/2021', ['11', '35'], '47', '0', '0', '0*', '2300*', '10']
['03/17/2021', ['11', '55'], '48', '0', '0', '0*', '2300*', '10']
['03/17/2021', ['12', '15'], '49', '0', '0', '0*', '2300*', '10']
['03/17/2021', ['12', '35'], '51', '5', '160', '0*', '2300*', '10']
['03/17/2021', ['12', '55'], '52', '6', '150', '0*', '2300*', '10']
['03/17/2021', ['13', '15'], '54', '7', '150', '0*', '2300*', '10']
['03/17/2021', ['13', '35'], '54', '6', '120', '0*', '2300*', '10']
['03/17/2021', ['13', '55'], '56', '7', '190', '0*', '2300*', '10']
['03/17/2021', ['14', '15'], '56', '5', '160', '0*', '2300*', '10']
['03/17/2021', ['14', '35'], '57', '10', '170', '0*', '2300*', '10']
['03/17/2021', ['14', '55'], '57', '5', '220', '0*', '2300*', '10']
['03/17/2021', ['15', '15'], '57', '3', '230', '0*', '2300*', '10']
['03/17/2021', ['15', '35'], '58', '7', '280', '0*', '2300*', '10']
['03/17/2021', ['15', '55'], '58', '0', '0', '0*', '2300*', '10']
['03/17/2021', ['16', '15'], '58', '3', '210', '0*', '2300*', '10']
['03/17/2021', ['16', '35'], '58', '0', '0', '0*', '2300*', '10']
['03/17/2021', ['16', '55'], '58', '0', '0', '0*', '2300*', '10']
['03/17/2021', ['17', '15'], '58', '8', '20', '0*', '2300*', '10']
['03/17/2021', ['17', '35'], '57', '13', '350', '20', '2300*', '10']
['03/19/2021', ['10', '15'], '35', '11', '50', '18*', '3000*', '10']
['03/19/2021', ['10', '35'], '36', '10', '50', '18*', '3000*', '10']
['03/19/2021', ['10', '55'], '37', '13', '40', '16', '3000*', '10']
['03/19/2021', ['11', '15'], '38', '11', '50', '16', '3000*', '10']
['03/19/2021', ['11', '35'], '40', '13', '30', '18', '3000*', '10']
['03/19/2021', ['11', '55'], '41', '15', '50', '20', '3000*', '10']
['03/19/2021', ['12', '15'], '41', '8', '60', '20*', '3000*', '10']
['03/19/2021', ['12', '35'], '42', '11', '50', '18', '3000*', '10']
['03/19/2021', ['12', '55'], '43', '11', '80', '16', '3000*', '10']
['03/19/2021', ['13', '15'], '44', '9', '60', '16*', '3000*', '10']
['03/19/2021', ['13', '35'], '45', '13', '80', '16*', '3000*', '10']
['03/19/2021', ['14', '35'], '46', '10', '40', '17', '3000*', '10']
['03/19/2021', ['14', '55'], '46', '7', '30', '17*', '3000*', '10']
['03/19/2021', ['15', '15'], '47', '11', '40', '16', '3000*', '10']
['03/19/2021', ['15', '35'], '48', '5', '90', '16*', '3000*', '10']
['03/19/2021', ['15', '55'], '47', '7', '120', '16*', '3000*', '10']
['03/19/2021', ['16', '15'], '48', '6', '20', '16', '3000*', '10']
['03/19/2021', ['16', '35'], '48', '10', '100', '17', '3000*', '10']
['03/19/2021', ['16', '55'], '47', '5', '70', '17', '3000*', '10']
['03/19/2021', ['17', '15'], '47', '0', '0', '17*', '3000*', '10']
['03/19/2021', ['17', '35'], '47', '6', '30', '17*', '3000*', '10']
['03/19/2021', ['17', '55'], '46', '5', '70', '17*', '3000*', '10']
['03/19/2021', ['18', '15'], '46', '3', '70', '17*', '3000*', '10']
['03/19/2021', ['18', '35'], '44', '3', '60', '17*', '3000*', '10']
['03/19/2021', ['18', '55'], '42', '0', '0', '17*', '3000*', '10']
['03/19/2021', ['19', '15'], '42', '0', '0', '17*', '3000*', '10']
['03/20/2021', ['08', '55'], '35', '9', '170', '0*', '7220', '10']
['03/20/2021', ['09', '15'], '38', '10', '170', '0*', '7220', '10']
['03/20/2021', ['09', '35'], '39', '5', '160', '0*', '7220', '10']
['03/20/2021', ['09', '55'], '41', '6', '180', '0*', '7220', '10']
['03/20/2021', ['10', '15'], '44', '6', '160', '0*', '7220', '10']
['03/20/2021', ['10', '35'], '45', '8', '150', '18', '7220', '10']
['03/20/2021', ['10', '55'], '46', '9', '160', '18', '7220', '10']
['03/20/2021', ['11', '15'], '47', '8', '160', '16', '7220', '10']
['03/20/2021', ['11', '35'], '48', '5', '160', '16*', '7220', '10']
['03/20/2021', ['11', '55'], '49', '7', '150', '16*', '7220', '10']
['03/20/2021', ['12', '15'], '51', '6', '150', '16*', '7220', '10']
['03/20/2021', ['12', '35'], '51', '7', '150', '16*', '7220', '10']
['03/20/2021', ['12', '55'], '52', '6', '150', '16*', '7220', '10']
['03/20/2021', ['13', '15'], '53', '5', '150', '16*', '7220', '10']
['03/20/2021', ['13', '35'], '53', '6', '160', '16*', '7220', '10']
['03/20/2021', ['13', '55'], '53', '9', '150', '16*', '7220', '10']
['03/20/2021', ['14', '15'], '54', '6', '130', '16*', '7220', '10']
['03/20/2021', ['14', '35'], '54', '5', '140', '16*', '7220', '10']
['03/20/2021', ['14', '55'], '55', '8', '150', '16*', '7220', '10']
['03/20/2021', ['15', '15'], '56', '5', '130', '16*', '7220', '10']
['03/20/2021', ['15', '35'], '56', '8', '160', '16*', '7220', '10']
['03/20/2021', ['15', '55'], '56', '3', '210', '16*', '7220', '10']
['03/20/2021', ['16', '15'], '56', '5', '190', '16*', '7220', '10']
['03/20/2021', ['16', '35'], '56', '7', '140', '16*', '7220', '10']
['03/20/2021', ['16', '55'], '56', '6', '130', '16*', '7220*', '10']
['03/20/2021', ['17', '15'], '56', '3', '210', '16*', '7220*', '10']
['03/20/2021', ['17', '35'], '55', '7', '130', '16*', '7220*', '10']
['03/20/2021', ['17', '55'], '55', '7', '130', '16*', '7220*', '10']
['03/20/2021', ['18', '15'], '54', '6', '140', '16*', '7220*', '10']
['03/20/2021', ['18', '35'], '52', '7', '130', '16*', '7220*', '10']
['03/20/2021', ['18', '55'], '49', '9', '110', '16*', '7220*', '10']
['03/20/2021', ['19', '15'], '48', '6', '120', '16*', '7220*', '10']
['03/21/2021', ['08', '15'], '37', '11', '180', '16*', '7220*', '10']
['03/21/2021', ['08', '35'], '40', '9', '180', '16*', '7220*', '10']
['03/21/2021', ['08', '55'], '43', '6', '170', '16*', '7220*', '10']
['03/21/2021', ['09', '15'], '46', '6', '140', '16*', '7220*', '10']
['03/21/2021', ['09', '35'], '49', '8', '150', '16*', '7220*', '10']
['03/21/2021', ['09', '55'], '52', '10', '150', '16*', '7220*', '10']
